ID,sample,start_date,progress,duration_in_seconds,finished,q2_1,q2_2,q3_1,q3_2,q4_2,q4_4_1,q4_4_2,q4_4_3,q4_4_4,q4_4_5,q4_4_6,q4_4_7,q4_6_1,q4_6_2,q4_6_3,q6_1_1,q6_1_2,q6_1_3,q6_1_4,q6_1_5,q6_1_6,q6_1_7,q6_3_1,q6_3_2,q6_3_3,q6_5_1,q7_1_1,q7_1_5,q7_2,q8_1,q9_1,q9_2,q9_3,duration_mins,progress_cat,q5_label,q5,comfort
2,Random,2021-10-10,100,188,True,0,Never,I don’t know any NHMRC documents or policies on career disruption,Neutral,Yes, I have medical or social circumstances and would include them,Neutral,Neutral,Disagree,Neutral,Agree,Agree,Neutral,Disagree,Agree,Agree,NA,NA,NA,NA,NA,NA,NA,Neutral,Neutral,Neutral,3,2,8.3,Extremely comfortable,Independent medical panel (new system),Basic Science,Female,5 years or less,3.13333333333333,(75,100],Caring for a child,Yes,Comfortable
3,Random,2021-10-10,100,1414,True,8,Always,I am aware of some of the NHMRC documents or policies on career disruption,Neutral,Yes, I have medical or social circumstances and would include them,Disagree,Neutral,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,NA,NA,NA,NA,NA,NA,NA,Disagree,Agree,Neutral,1.9,4,NA,Somewhat comfortable,Independent medical panel (new system),Basic Science,I use a different term,21 years or more,23.5666666666667,(75,100],Caring for an elderly relative,Yes,Comfortable
4,Random,2021-10-10,100,444,True,4,Never,I am aware of some of the NHMRC documents or policies on career disruption,Neutral,No, I have medical or social circumstances but would not include them,Agree,Disagree,Agree,Agree,Agree,Agree,Neutral,Disagree,Agree,Agree,Disagree,Neutral,Agree,Agree,Agree,Disagree,Neutral,NA,NA,NA,NA,NA,NA,Somewhat uncomfortable,Independent medical panel (new system),Clinical Medicine and Science,Male,21 years or more,7.4,(75,100],A car accident,No,Uncomfortable
5,Random,2021-10-10,100,826,True,2,Never,I am fully aware of all relevant NHMRC documents and policies on career disruption,Agree,Other,Disagree,Agree,Agree,Agree,Agree,NA,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Disagree,Disagree,NA,NA,NA,12,NA,NA,Somewhat uncomfortable,Other,Health Services Research,Female,11 to 15 years,13.7666666666667,(75,100],Severe depression,No,Uncomfortable
6,Random,2021-10-10,100,303,True,10,Never,I am aware of some of the NHMRC documents or policies on career disruption,Agree,No, I have no medical or social circumstances to write about,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Neutral,Neutral,Neutral,NA,NA,NA,NA,NA,NA,NA,Neutral,Agree,Neutral,6,0,6,Extremely comfortable,Scientific panel (current system),Clinical Medicine and Science,Male,11 to 15 years,5.05,(75,100],Caring for an elderly relative,Yes,Comfortable
7,Random,2021-10-10,100,370,True,1,Rarely,I am aware of some of the NHMRC documents or policies on career disruption,Neutral,Yes, I have medical or social circumstances and would include them,Disagree,Neutral,Agree,Agree,Agree,Agree,Disagree,Disagree,Neutral,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,NA,NA,NA,NA,NA,NA,Somewhat uncomfortable,Not sure,Health Services Research,Male,11 to 15 years,6.16666666666667,(75,100],Severe depression,No,Uncomfortable
8,Random,2021-10-10,100,2049,True,0,Never,I don’t know any NHMRC documents or policies on career disruption,Agree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Neutral,Agree,Neutral,6,5,10,Somewhat comfortable,Independent medical panel (new system),Public Health,Male,5 years or less,34.15,(75,100],Caring for an elderly relative,Yes,Comfortable
9,Random,2021-10-10,100,704,True,6,Rarely,I am aware of some of the NHMRC documents or policies on career disruption,Disagree,No, I have medical or social circumstances but would not include them,Disagree,Agree,Disagree,Disagree,Neutral,Neutral,Neutral,Disagree,Agree,Disagree,Disagree,Agree,Neutral,Neutral,Agree,Neutral,Neutral,NA,NA,NA,2,0,NA,Somewhat uncomfortable,Independent medical panel (new system),Clinical Medicine and Science,Male,16 to 20 years,11.7333333333333,(75,100],Severe depression,No,Uncomfortable
10,Random,2021-10-10,100,759,True,5,Never,I am aware of some of the NHMRC documents or policies on career disruption,Agree,No, I have no medical or social circumstances to write about,Neutral,NA,NA,NA,NA,Disagree,Disagree,Agree,Agree,Neutral,NA,NA,NA,NA,NA,NA,NA,Agree,Disagree,Disagree,NA,0,NA,Extremely comfortable,Scientific panel (current system),Basic Science,Male,6 to 10 years,12.65,(75,100],A car accident,Yes,Comfortable
11,Random,2021-10-10,100,369,True,8,Rarely,I am aware of some of the NHMRC documents or policies on career disruption,Agree,Yes, I have medical or social circumstances and would include them,Disagree,Agree,Agree,Agree,Agree,NA,Disagree,Disagree,Agree,Neutral,NA,NA,NA,NA,NA,NA,NA,Disagree,Agree,Neutral,12,0,6.3,Somewhat uncomfortable,Scientific panel (current system),Clinical Medicine and Science,Male,11 to 15 years,6.15,(75,100],A car accident,Yes,Uncomfortable
12,Random,2021-10-10,100,1259,True,10,Sometimes,I am aware of some of the NHMRC documents or policies on career disruption,Neutral,Yes, I have medical or social circumstances and would include them,NA,Agree,Disagree,Neutral,Neutral,Neutral,Disagree,Neutral,Agree,Neutral,NA,NA,NA,NA,NA,NA,NA,Neutral,Neutral,Agree,NA,NA,NA,Extremely comfortable,Other,Clinical Medicine and Science,Female,5 years or less,20.9833333333333,(75,100],Caring for an elderly relative,Yes,Comfortable
13,Random,2021-10-10,100,481,True,10,Never,I don’t know any NHMRC documents or policies on career disruption,Disagree,No, I have medical or social circumstances but would not include them,Disagree,Neutral,Agree,Agree,Agree,Agree,Neutral,Disagree,Neutral,Neutral,Disagree,Agree,Agree,Agree,Agree,Agree,Neutral,NA,NA,NA,6,NA,NA,Extremely uncomfortable,Independent medical panel (new system),Basic Science,Male,21 years or more,8.01666666666667,(75,100],Caring for a child,No,Uncomfortable
14,Random,2021-10-10,100,1289,True,7,Rarely,I am aware of some of the NHMRC documents or policies on career disruption,Neutral,No, I have medical or social circumstances but would not include them,Disagree,Neutral,Agree,Agree,Agree,Neutral,Agree,NA,Neutral,Agree,NA,NA,NA,NA,NA,NA,NA,Disagree,Disagree,Agree,2,6,6,Somewhat uncomfortable,Independent medical panel (new system),Public Health,Male,6 to 10 years,21.4833333333333,(75,100],Severe depression,Yes,Uncomfortable
15,Random,2021-10-10,100,298,True,0,Never,I am aware of some of the NHMRC documents or policies on career disruption,Agree,Yes, I have medical or social circumstances and would include them,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Neutral,Agree,Agree,Disagree,NA,NA,NA,NA,NA,NA,NA,Neutral,Agree,NA,NA,0,NA,Extremely comfortable,Independent medical panel (new system),Health Services Research,Female,11 to 15 years,4.96666666666667,(75,100],A car accident,Yes,Comfortable
16,Random,2021-10-10,100,551,True,1,Never,I don’t know any NHMRC documents or policies on career disruption,Disagree,Other,Disagree,Agree,Agree,Agree,Disagree,Agree,Disagree,NA,Agree,Agree,NA,NA,NA,NA,NA,NA,NA,Agree,Disagree,Disagree,NA,6,NA,Somewhat comfortable,Independent medical panel (new system),Health Services Research,Female,11 to 15 years,9.18333333333333,(75,100],Caring for a child,Yes,Comfortable
